Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min
, ,1.42984,2.66875,1.83787,2.33095,2.319,1.56347,2.04396,2.17051,1.68655,1.63639,2.18327,2.59058
,1,0,0,0,0.2,0,0.1,0.2,0.1,0,0,0,0
, ,0,0,0,0.421637,0,0.316228,0.421637,0.316228,0,0,0,0
,2,4,3.8,2.5,0.8,0.4,0.5,0.4,0.7,0.6,5.6,4.8,5.3
, ,1.88562,1.54919,1.50923,0.788811,0.699206,0.971825,0.699206,1.05935,0.699206,1.64655,1.93218,1.33749
,3,0,0,0,0,0,0,0,0,0,0,0.1,0
, ,0,0,0,0,0,0,0,0,0,0,0.316228,0
,4,0,0,0,0.9,0.5,0.4,0.6,0.9,1,0,0,0
, ,0,0,0,0.994429,0.527046,0.699206,0.699206,0.567646,1.05409,0,0,0
,5,0.1,0,0.3,1.1,1.7,1,0.6,1.4,1.6,0,0.3,0.2
, ,0.316228,0,0.483046,1.1005,1.82878,1.1547,0.699206,1.07497,1.26491,0,0.483046,0.421637
,6,0.2,0.2,0.6,0.4,0.4,0.6,0.8,0.4,0.8,0,0,0
, ,0.421637,0.421637,0.516398,0.516398,0.516398,0.843274,0.632456,0.516398,0.788811,0,0,0
,7,0.4,0.8,0.2,3.5,4,3,2.1,3.3,3.1,1.3,0.7,0.6
, ,0.699206,0.788811,0.421637,1.50923,2.0548,2.16025,1.37032,1.76698,2.02485,0.674949,0.674949,0.699206
,8,0.3,0.1,0.1,1,0.6,1.4,0.7,0.9,1.1,0.1,0.2,0.2
, ,0.483046,0.316228,0.316228,0.816497,0.699206,1.26491,0.483046,1.1005,1.44914,0.316228,0.421637,0.421637
Number Expired,0,0,0,0,0.2,0.3,0.2,0.2,0.4,1.6,0,0,0
, ,0,0,0,0.421637,0.483046,0.421637,0.632456,0.699206,4.06065,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0
, ,0,0,0,0,0,0,0,0,0,0,0,0
,2,0.1,0.1,0,0.1,0.2,0,0,0,0.1,1.2,0.3,1.1
, ,0.316228,0.316228,0,0.316228,0.421637,0,0,0,0.316228,0.918937,0.948683,0.875595
,3,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2
, ,0,0,0,0,0,0,0,0,0,0.316228,0.316228,0.421637
,4,0,0,0,0,0,0,0,0,0,0,0,0
, ,0,0,0,0,0,0,0,0,0,0,0,0
,5,0,0,0.1,0,0,0,0,0,0,0.2,0.1,0.1
, ,0,0,0.316228,0,0,0,0,0,0,0.421637,0.316228,0.316228
,6,0,0,0,0,0,0,0,0,0,0,0,0
, ,0,0,0,0,0,0,0,0,0,0,0,0
,7,0.5,0.3,0.3,0.5,0.6,0.4,0.6,0.5,2,0,0.1,0.1
, ,0.971825,0.483046,0.483046,0.849837,0.516398,0.699206,0.699206,0.971825,5.2915,0,0.316228,0.316228
,8,0,0.1,0,0,0,0,0,0,0,0,0,0
, ,0,0.316228,0,0,0,0,0,0,0,0,0,0
