Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, 240 min, 250 min, 260 min, 270 min, 280 min, 290 min, 300 min, 310 min, 320 min, 330 min, 340 min, 350 min, 360 min, 370 min, 380 min, 390 min, 400 min, 410 min, 420 min, 430 min, 440 min, 450 min, 460 min, 470 min, Sum
, 5, 0, 1, 0, 0, 1, 1, 1, 2, 0, 2, 3, 2, 3, 1, 1, 1, 1, 0, 2, 2, 2, 1, 4, 0, 6, 2, 0, 3, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 52
, 6, 2, 6, 0, 5, 3, 5, 1, 6, 0, 3, 6, 3, 6, 1, 5, 4, 2, 6, 6, 6, 4, 3, 2, 2, 7, 5, 4, 3, 5, 4, 5, 4, 1, 4, 2, 4, 3, 4, 1, 5, 1, 2, 6, 6, 6, 2, 7, 4, 182
, 7, 4, 0, 2, 2, 3, 2, 4, 2, 1, 1, 0, 3, 3, 4, 2, 3, 1, 0, 4, 2, 2, 3, 2, 1, 4, 4, 3, 2, 1, 2, 3, 0, 1, 0, 2, 3, 2, 2, 0, 1, 0, 2, 2, 1, 2, 7, 12, 4, 111
, 8, 0, 1, 1, 2, 1, 2, 2, 2, 0, 0, 2, 0, 2, 5, 2, 2, 3, 2, 1, 1, 3, 0, 3, 3, 1, 5, 3, 2, 3, 2, 2, 2, 2, 4, 2, 2, 3, 2, 1, 1, 2, 0, 2, 2, 2, 6, 5, 4, 100
, Sum, 16, 20, 14, 12, 9, 12, 9, 16, 1, 7, 13, 12, 15, 13, 12, 17, 7, 12, 14, 16, 14, 8, 11, 7, 22, 18, 11, 11, 12, 10, 13, 8, 7, 10, 9, 10, 10, 10, 3, 8, 6, 6, 10, 14, 11, 22, 37, 27, 592
Number Out, 0, 8, 12, 10, 1, 0, 2, 1, 2, 0, 0, 0, 3, 0, 0, 0, 4, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 2, 2, 1, 0, 2, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 4, 10, 11, 86
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 3, 1, 24
, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10
, 5, 0, 1, 0, 0, 1, 1, 1, 2, 0, 2, 3, 2, 3, 1, 1, 1, 1, 0, 2, 1, 2, 1, 4, 0, 4, 1, 0, 3, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 48
, 6, 1, 5, 1, 4, 3, 3, 1, 5, 0, 3, 3, 1, 2, 1, 3, 2, 1, 6, 4, 4, 4, 3, 1, 2, 1, 4, 4, 0, 5, 4, 5, 4, 0, 4, 2, 1, 3, 4, 1, 4, 0, 0, 0, 0, 5, 1, 5, 3, 123
, 7, 3, 0, 1, 1, 2, 2, 4, 1, 1, 0, 0, 3, 1, 3, 2, 2, 1, 0, 2, 0, 2, 2, 1, 1, 0, 2, 2, 1, 0, 2, 1, 0, 1, 0, 2, 2, 1, 2, 0, 1, 0, 0, 0, 0, 2, 7, 11, 4, 76
, 8, 0, 1, 1, 2, 1, 2, 2, 2, 0, 0, 2, 0, 1, 5, 2, 2, 3, 2, 1, 1, 3, 0, 3, 3, 1, 5, 3, 2, 3, 2, 2, 2, 2, 4, 2, 2, 3, 2, 1, 1, 2, 0, 2, 2, 2, 1, 0, 3, 88
, Sum, 14, 19, 14, 10, 8, 10, 9, 12, 1, 6, 8, 10, 7, 11, 9, 13, 6, 9, 10, 9, 13, 7, 9, 7, 8, 13, 10, 7, 11, 10, 11, 8, 6, 10, 9, 6, 8, 10, 3, 7, 2, 2, 2, 4, 10, 16, 29, 24, 457
Number Expired, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 10
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 3, 0, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 15
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
, 6, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 3, 0, 6, 0, 2, 2, 1, 0, 2, 2, 0, 0, 1, 0, 2, 5, 0, 3, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 16, 1, 2, 1, 59
, 7, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 2, 2, 0, 1, 1, 0, 1, 5, 1, 1, 1, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 35
, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 1, 12
, Sum, 1, 1, 1, 2, 1, 2, 0, 4, 0, 1, 5, 0, 10, 2, 3, 4, 1, 3, 4, 7, 1, 1, 2, 0, 4, 15, 1, 4, 1, 0, 2, 0, 1, 0, 0, 4, 2, 0, 0, 1, 0, 0, 0, 0, 27, 5, 9, 3, 135
